* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 30, 2023 11:40:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CICADA_50g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
155.639648 45.183451057395075 154.8752
156.005859 47.466451057395076 147.2051
156.37207 48.61745105739507 138.9043
156.738281 48.88045105739507 130.7449
157.104492 48.32545105739507 122.6067
157.470703 46.80645105739507 113.7573
157.836914 43.75245105739507 102.459
158.203125 37.168451057395075 79.7549
158.569336 33.65545105739507 -38.2212
158.935547 43.040451057395074 -76.2959
159.301758 47.47445105739507 -90.408
159.667969 49.98345105739507 -101.8242
160.03418 51.335451057395076 -113.408
160.400391 51.711451057395074 -126.3872
160.766602 51.03245105739507 -141.6587
161.132812 49.02345105739507 -160.4443
161.499023 45.16345105739507 173.9041
161.865234 39.13245105739507 128.3345
162.231445 36.12945105739507 54.6667
162.597656 33.473451057395074 19.0554
162.963867 33.50845105739508 117.7893
163.330078 45.54745105739507 114.9426
163.696289 50.96245105739507 95.897
164.0625 53.50845105739507 75.165
164.428711 53.81945105739507 53.8564
164.794922 51.43545105739507 32.0212
165.161133 42.51045105739507 8.1616
165.527344 44.37145105739507 171.7998
165.893555 52.525451057395074 147.5056
166.259766 54.49945105739507 123.2549
166.625977 52.23345105739507 94.5012
166.992188 42.549451057395075 -2.0076
167.358398 56.037451057395074 -99.647
167.724609 62.598451057395074 -128.3125
168.09082 66.13445105739507 -152.1799
168.457031 67.99045105739506 -174.7002
168.823242 68.57445105739507 163.4795
169.189453 67.98845105739508 142.2578
169.555664 66.13645105739508 121.8418
169.921875 62.619451057395075 103.063
170.288086 56.12145105739507 90.0364
170.654297 44.091451057395076 145.7529
171.020508 52.94745105739507 -165.3254
171.386719 55.55345105739507 -177.8687
171.75293 54.65445105739507 164.8799
172.119141 50.58745105739507 146.52
172.485352 39.02045105739507 122.7102
172.851562 42.104451057395075 -54.7778
173.217773 48.317451057395076 -69.4121
173.583984 50.01345105739507 -76.0759
173.950195 50.51345105739507 -77.4553
174.316406 50.86245105739507 -78.6763
174.682617 50.77945105739507 -85.2185
175.048828 49.390451057395076 -98.7952
175.415039 45.49845105739507 -122.4812
175.78125 38.08445105739507 167.5898
176.147461 44.24345105739507 76.8821
176.513672 48.91045105739507 46.1384
176.879883 50.63045105739507 24.355
177.246094 50.491451057395075 5.2307
177.612305 48.78845105739507 -12.3376
177.978516 45.424451057395075 -28.7515
178.344727 39.74445105739507 -45.783
178.710938 29.048451057395074 -84.8689
179.077148 31.607451057395075 163.324
179.443359 37.269451057395074 144.28
179.80957 39.58145105739507 133.8467
180.175781 39.73645105739507 121.7161
180.541992 36.961451057395074 105.2695
180.908203 25.094451057395073 57.999
181.274414 36.10245105739507 -85.2117
181.640625 43.046451057395075 -107.8459
182.006836 46.16745105739507 -126.2534
182.373047 47.269451057395074 -143.7102
182.739258 46.67945105739507 -160.5449
183.105469 44.046451057395075 -176.4365
183.47168 37.26745105739507 171.1233
183.837891 28.945451057395072 -51.9651
184.204102 41.35545105739507 -52.3223
184.570312 45.07545105739507 -65.0483
184.936523 46.113451057395075 -77.0879
185.302734 45.27645105739507 -85.4707
185.668945 42.817451057395076 -83.8291
186.035156 40.72445105739507 -60.9268
186.401367 42.49545105739507 -37.9121
186.767578 44.421451057395075 -34.9441
187.133789 44.35345105739507 -38.9583
187.5 41.808451057395075 -36.7383
187.866211 38.99045105739508 -1.1812
188.232422 43.40145105739507 30.0146
188.598633 47.02345105739507 27.251
188.964844 48.15745105739507 15.0842
189.331055 46.83145105739507 1.1917
189.697266 41.77045105739507 -6.4202
190.063477 34.58745105739507 68.1055
190.429688 44.04145105739507 94.0186
190.795898 47.216451057395076 79.5286
191.162109 46.73045105739507 59.8354
191.52832 41.57845105739507 37.0183
191.894531 29.934451057395073 -146.7102
192.260742 44.95345105739507 178.1414
192.626953 48.217451057395074 152.6138
192.993164 47.247451057395075 123.7773
193.359375 40.56345105739507 69.9419
193.725586 44.78245105739507 -56.2517
194.091797 51.503451057395075 -96.1619
194.458008 53.61545105739507 -124.3989
194.824219 51.839451057395074 -152.3218
195.19043 39.13245105739507 143.4658
195.556641 53.74545105739507 -1.9731
195.922852 61.195451057395076 -29.9453
196.289062 65.09745105739506 -54.1885
196.655273 67.19645105739508 -77.4751
197.021484 67.97645105739508 -100.304
197.387695 67.56245105739507 -122.8059
197.753906 65.86745105739507 -144.9636
198.120117 62.48345105739507 -166.5435
198.486328 55.960451057395076 173.7793
198.852539 34.27745105739507 -121.9197
199.21875 52.87645105739507 -61.6843
199.584961 56.01345105739507 -81.5129
199.951172 55.49545105739507 -103.8135
200.317383 52.07545105739507 -129.2483
200.683594 44.15445105739507 -171.9194
201.049805 42.81245105739507 69.5857
201.416016 48.15545105739508 30.8789
201.782227 49.13645105739507 15.5691
202.148438 48.18245105739507 13.676
202.514648 47.652451057395076 23.9358
202.880859 48.589451057395074 29.9412
203.24707 49.052451057395075 23.8562
203.613281 47.77045105739507 9.6887
203.979492 43.777451057395076 -11.8359
204.345703 34.34045105739507 -66.2559
204.711914 38.63545105739507 177.928
205.078125 43.28245105739507 146.7676
205.444336 43.899451057395076 125.6665
205.810547 41.613451057395075 106.1987
206.176758 35.06945105739507 81.9028
206.542969 27.114451057395073 -47.4045
206.90918 37.205451057395074 -91.2698
207.275391 40.21245105739507 -102.2878
207.641602 40.69345105739507 -106.0142
208.007812 39.54845105739507 -102.4116
208.374023 37.23045105739507 -83.8684
208.740234 37.50445105739507 -42.1326
209.106445 42.03245105739507 -18.1479
209.472656 45.74945105739507 -15.6292
209.838867 47.87345105739507 -21.3733
210.205078 48.491451057395075 -30.4714
210.571289 47.48045105739507 -40.5635
210.9375 44.168451057395075 -48.7861
211.303711 35.75645105739507 -38.498
211.669922 37.37145105739508 63.3909
212.036133 44.09945105739507 67.8022
212.402344 46.29445105739507 61.1101
212.768555 46.05745105739507 56.2981
213.134766 44.00745105739507 61.5227
213.500977 42.51345105739507 87.5942
213.867188 44.753451057395075 110.6023
214.233398 46.89845105739507 113.4014
214.599609 47.06045105739507 107.7319
214.96582 44.42945105739507 101.6587
