* Measurement data measured by REW V5.30.1
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), R, volume: 0.540
* Format: 1M Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 29, 2023 7:00:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 3DSC_15g_p2
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
239.135742 32.005232905674895 -38.8105
239.501953 30.23223290567489 -58.832
239.868164 26.306232905674893 -81.624
240.234375 17.568232905674893 -128.6494
240.600586 20.502232905674894 110.9668
240.966797 26.440232905674893 79.5908
241.333008 28.388232905674894 62.3604
241.699219 28.051232905674894 52.6719
242.06543 26.332232905674893 56.4961
242.431641 26.20023290567489 76.1855
242.797852 28.52023290567489 84.3086
243.164062 29.808232905674892 75.415
243.530273 28.545232905674894 56.2744
243.896484 22.188232905674894 15.6699
244.262695 24.823232905674892 -117.4609
244.628906 33.419232905674896 -156.5898
244.995117 37.670232905674894 177.543
245.361328 39.91123290567489 153.4912
245.727539 40.79323290567489 129.6182
246.09375 40.54323290567489 105.3564
246.459961 39.20123290567489 80.2607
246.826172 36.657232905674896 53.6396
247.192383 32.569232905674895 23.7812
247.558594 26.037232905674895 -16.2432
247.924805 18.667232905674894 -107.5957
248.291016 23.227232905674892 170.4414
248.657227 26.14823290567489 132.3193
249.023438 27.518232905674893 104.9277
249.389648 28.512232905674892 84.7266
249.755859 29.74123290567489 69.7402
250.12207 31.260232905674894 56.1221
250.488281 32.64723290567489 41.04
250.854492 33.45423290567489 24.0234
251.220703 33.398232905674895 5.5879
251.586914 32.27123290567489 -13.8242
251.953125 29.812232905674893 -34.3633
252.319336 25.533232905674893 -58.1455
252.685547 18.792232905674894 -98.2305
253.051758 16.913232905674892 -177.0127
253.417969 21.176232905674894 150.6738
253.78418 24.318232905674893 142.1914
254.150391 26.89523290567489 135.6318
254.516602 28.689232905674892 125.0625
254.882812 29.379232905674893 110.3037
255.249023 28.785232905674892 91.833
255.615234 26.746232905674894 68.6289
255.981445 23.26423290567489 35.6807
256.347656 20.263232905674894 -15.2832
256.713867 20.83423290567489 -60.4893
257.080078 21.951232905674892 -77.0176
257.446289 23.35423290567489 -72.4189
257.8125 26.324232905674894 -64.875
258.178711 29.466232905674893 -66.3135
258.544922 31.692232905674892 -73.6895
258.911133 32.877232905674894 -83.0596
259.277344 33.12623290567489 -92.0264
259.643555 32.60023290567489 -98.835
260.009766 31.545232905674894 -102.0488
260.375977 30.33723290567489 -101.2041
260.742188 29.313232905674894 -97.8467
261.108398 28.460232905674893 -94.3418
261.474609 27.563232905674894 -91.1436
261.84082 26.67423290567489 -87.4434
262.207031 26.095232905674894 -84.8682
262.573242 25.721232905674892 -88.3252
262.939453 24.916232905674892 -102.2607
263.305664 23.367232905674893 -131.6348
263.671875 22.801232905674894 178.6016
264.038086 25.378232905674892 129.3379
264.404297 28.306232905674893 95.8838
264.770508 30.102232905674892 71.4287
265.136719 30.726232905674895 52.2158
265.50293 30.372232905674892 38.1787
265.869141 29.492232905674893 31.0371
266.235352 29.060232905674894 30.4004
266.601562 29.70923290567489 28.5244
266.967773 30.657232905674892 18.6123
267.333984 31.02323290567489 0.9492
267.700195 30.468232905674892 -22.9541
268.066406 28.934232905674893 -53.3271
268.432617 26.690232905674893 -92.4199
268.798828 24.754232905674893 -140.8818
269.165039 23.878232905674892 171.0078
269.53125 22.54323290567489 133.1631
269.897461 18.007232905674893 109.8379
270.263672 11.432232905674892 -176.6533
270.629883 23.04023290567489 -161.3057
270.996094 28.101232905674895 177.9658
271.362305 30.539232905674893 153.5381
271.728516 31.297232905674893 127.0215
272.094727 30.602232905674892 96.8955
272.460938 28.571232905674893 57.7373
272.827148 26.89523290567489 -1.0693
273.193359 29.22923290567489 -62.3086
273.55957 32.57023290567489 -102.5195
273.925781 34.807232905674894 -131.4629
274.291992 35.895232905674895 -155.3691
274.658203 35.92123290567489 -176.0391
275.024414 34.849232905674896 166.9492
